"sample","condition","sample_region","individuum","big_area","area","Acronym","condition__Acronym","RIN"
"X1_58","X","X_58","X1","Basal Ganglia","Putamen","PUT","X__PUT",7.6
"X1_63","X","X_63","X1","Basal Ganglia","Substantia Nigra","SN","X__SN",6.8
"X1_64","X","X_64","X1","Basal Ganglia","Globus Pallidus","GP","X__GP",7.3
"X1_68","X","X_68","X1","Diencephalon","Medial Dorsal Thalamus","MDTH","X__MDTH",6
"X1_69","X","X_69","X1","Diencephalon","Hypothalamus","HYP","X__HYP",6.8
"X1_72","X","X_72","X1","White Matter","Internal Capsule","IC","X__IC",8.2
"X1_73","X","X_73","X1","White Matter","Corpus Callosum Anterior","CCa","X__CCa",7.7
"X1_74","X","X_74","X1","White Matter","Posterior Corpus Callosum","CCp","X__CCp",7.8
"X1_75","X","X_75","X1","Cerebellum","Cerebellar White Matter","CB_WM","X__CB_WM",8.3
"X2_1","X","X_1","X2","Cerebellum","Cerebellar Grey Matter","CB_GM","X__CB_GM",8.2
"X2_15","X","X_15","X2","Frontal Lobe","1ary Motor Ctx","BA4","X__BA4",6.6
"X2_16","X","X_16","X2","Temporal Lobe","1ary Auditory Ctx","BA41_42","X__BA41_42",7.1
"X2_17","X","X_17","X2","Occipital Lobe","Anterior Striate Ctx- 1ary Visual Ctx","BA17a","X__BA17a",7
"X2_18","X","X_18","X2","Parietal Lobe","1ary Somatosensory Ctx","BA3_1_2","X__BA3_1_2",6
"X2_27","X","X_27","X2","Occipital Lobe","Anterior Extrastriate Ctx- 2ary Visual Ctx","BA18_19a","X__BA18_19a",6
"X2_28","X","X_28","X2","Temporal Lobe","2ary Auditory Ctx- Wernicke","BA22p","X__BA22p",6.5
"X2_29","X","X_29","X2","Parietal Lobe","Precuneus","BA7m","X__BA7m",6.4
"X2_30","X","X_30","X2","Frontal Lobe","Premotor Ctx Anterior Lateral","BA6a","X__BA6a",7.3
"X2_31","X","X_31","X2","Parietal Lobe","Supramarginal Gyrus Posterior","BA40p","X__BA40p",6.8
"X2_32","X","X_32","X2","Frontal Lobe","Ventrolateral PreFrontal Ctx-Broca","BA44","X__BA44",6.7
"X2_33","X","X_33","X2","Temporal Lobe","visual processing, recognition memory","BA20a","X__BA20a",7.2
"X2_34","X","X_34","X2","Frontal Lobe","Dorsolateral Prefrontal Ctx","BA9","X__BA9",7.3
"X2_37","X","X_37","X2","Temporal Lobe","2ary Auditory","BA21a","X__BA21a",7.3
"X2_43","X","X_43","X2","Temporal Lobe","Temporopolar Ctx","BA38","X__BA38",6.6
"X2_46","X","X_46","X2","Frontal Lobe","Medial Anterior Prefrontal Ctx","BA10m","X__BA10m",6
"X2_47","X","X_47","X2","Limbic Lobe","Cingulate Cortex Posterior","BA31","X__BA31",7.8
"X2_48","X","X_48","X2","Limbic Lobe","Cingulate Cortex Anterior","BA24","X__BA24",8.4
"X2_49","X","X_49","X2","Limbic Lobe","Cingulate Cortex Anterior","BA32","X__BA32",7.1
"X2_50","X","X_50","X2","Frontal Lobe","Orbitofrontal Ctx","BA11","X__BA11",7
"X2_52","X","X_52","X2","Limbic Lobe","Amygdala","AMG","X__AMG",6.8
"X2_53","X","X_53","X2","Insula","Insular Cortex Posterior","INSp","X__INSp",7.7
"X2_54","X","X_54","X2","Limbic Lobe","Entorhinal Cortex","ENTCTX","X__ENTCTX",7.7
"X2_55","X","X_55","X2","Limbic Lobe","Hipocampus-CA3/Dentate Gyrus","CA3_DG","X__CA3_DG",7.1
